,,,
State,,October 2020(P),Rank
,abv,rate,
Nebraska,NE,3,1
Vermont,VT,3.2,2
Iowa,IA,3.6,3
South Dakota,SD,3.6,3
Utah,UT,4.1,5
New Hampshire,NH,4.2,6
South Carolina,SC,4.2,6
Georgia,GA,4.5,8
Minnesota,MN,4.6,9
Missouri,MO,4.6,9
North Dakota,ND,4.8,11
Montana,MT,4.9,12
Indiana,IN,5,13
Kansas,KS,5.3,14
Virginia,VA,5.3,14
Maine,ME,5.4,16
Idaho,ID,5.5,17
Michigan,MI,5.5,17
Wyoming,WY,5.5,17
Delaware,DE,5.6,20
Ohio,OH,5.6,20
Wisconsin,WI,5.7,22
Alabama,AL,5.8,23
Alaska,AK,5.9,24
Washington,WA,6,25
Connecticut,CT,6.1,26
Oklahoma,OK,6.1,26
Arkansas,AR,6.2,28
North Carolina,NC,6.3,29
Colorado,CO,6.4,30
West Virginia,WV,6.4,30
Florida,FL,6.5,32
Illinois,IL,6.8,33
Oregon,OR,6.9,34
Texas,TX,6.9,34
Rhode Island,RI,7,36
Pennsylvania,PA,7.3,37
Kentucky,KY,7.4,38
Massachusetts,MA,7.4,38
Mississippi,MS,7.4,38
Tennessee,TN,7.4,38
Maryland,MD,7.8,42
Arizona,AZ,8,43
New Mexico,NM,8.1,44
District of Columbia,DC,8.2,45
New Jersey,NJ,8.2,45
California,CA,9.3,47
Louisiana,LA,9.4,48
New York,NY,9.6,49
Nevada,NV,12,50
Hawaii,HI,14.3,51
